ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
24,MARYLAND,MD,Queen Anne's,24035,"Queen Anne's County, Maryland",371.6832289,49355,0,21023,67,18148,424,2691,535,765,155,42077,1575,2748,316,8894,59,10781,0,5159,416,1062,199,6630,29,503,184,584,165,671,165,211,89,627,152,467,131,5.5,1.1,2.9,0.6,42077.0,1575.0,7.9,0.9,18.0,0.1,21.8,0.0,10.6,0.8,5.9,1.1,13.4,0.1,1.1,0.4,2.8,0.8,3.2,0.8,1.2,0.5,3.5,0.8,0.9,0.3,0.1304,0.0,0.2174,0.2609,0.6087,0.0435,0.7391,0.3913,0.2174,0.0,1.3478,0.087,0.1304,0.3913,0.5217,0.2609,0.0435,0.5652,0.2609,0.0435,0.1304,1.0435,0.0435,3.5217,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2168,335,4.4,0.7,38770
24,MARYLAND,MD,Calvert,24009,"Calvert County, Maryland",213.1909019,91082,0,35003,78,31726,434,4578,739,3165,514,43504,1191,3773,421,12769,94,21510,104,9707,683,2719,327,19632,158,308,125,1429,223,298,127,239,107,994,194,626,153,5.1,0.8,6.4,1.0,43504.0,1191.0,6.1,0.7,14.0,0.1,23.6,0.1,10.8,0.8,8.6,1.0,21.6,0.2,0.4,0.1,4.1,0.6,0.9,0.4,0.8,0.3,3.1,0.6,0.7,0.2,0.0,0.6957,0.1739,0.0435,0.9131,0.2174,0.2609,0.8261,0.2609,0.6087,1.9566,0.4783,0.3043,0.0435,0.3478,0.1304,0.1739,0.1739,0.0435,0.0,0.0,0.3913,0.0,3.6088,0.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3761,724,4.2,0.8,62807
24,MARYLAND,MD,Carroll,24013,"Carroll County, Maryland",447.6254344,167522,0,63399,157,60450,428,8671,890,3197,381,40667,831,9045,598,26728,86,36956,0,18552,923,3606,370,17667,133,849,207,3739,366,789,176,626,168,2774,343,3636,402,5.3,0.5,3.5,0.4,40667.0,831.0,7.8,0.5,16.0,0.1,22.1,0.0,11.2,0.6,6.0,0.6,10.5,0.1,0.5,0.1,5.9,0.6,1.2,0.3,1.0,0.3,4.6,0.6,2.2,0.2,0.0435,0.087,0.3043,0.2174,0.6522,0.087,0.6087,0.4783,0.3478,0.0435,1.4783,0.1739,0.0435,0.1304,0.1739,0.087,0.3043,0.3478,0.1304,0.2609,0.5652,1.6086,0.1304,3.913,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5006,609,3.0,0.4,132536
24,MARYLAND,MD,Howard,24027,"Howard County, Maryland",250.9446447,315327,0,118027,177,112966,695,16829,1816,6742,561,52586,777,9527,879,40889,45,77343,0,23655,1006,8151,646,148015,320,10070,900,20544,806,1188,202,2241,411,4236,457,2310,379,5.4,0.6,3.8,0.3,52586.0,777.0,4.5,0.4,13.0,0.1,24.5,0.0,7.6,0.3,7.2,0.6,46.9,0.1,3.4,0.3,17.4,0.7,1.0,0.2,2.0,0.4,3.7,0.4,0.7,0.1,0.087,0.1739,0.0435,0.0,0.3044,0.0,0.1304,0.9565,0.0,0.1739,1.2608,0.0,0.7826,0.913,1.6956,0.8696,0.8261,0.2609,0.7391,0.1304,0.0,1.9565,0.3043,5.2173,0.1304,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,12437,1097,4.0,0.4,297625
24,MARYLAND,MD,Harford,24025,"Harford County, Maryland",437.1194824,251025,0,99570,145,93286,599,18805,1455,6558,539,39365,544,12561,788,38632,52,56648,0,28340,1229,6804,527,59088,374,1624,414,10490,536,2731,294,1080,239,4652,406,1771,282,7.6,0.6,4.8,0.4,39365.0,544.0,7.2,0.5,15.4,0.1,22.6,0.0,11.4,0.5,7.3,0.6,23.5,0.1,0.7,0.2,10.5,0.5,2.7,0.3,1.2,0.3,5.0,0.4,0.7,0.1,0.3478,0.4348,0.3913,0.1304,1.3043,0.3913,0.4783,0.6522,0.3913,0.2174,1.7392,0.3043,0.4348,0.2174,0.6522,0.3478,0.6087,0.4783,0.2609,0.3913,0.0,1.7392,0.2174,5.4349,0.1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9074,965,3.7,0.4,207245
24,MARYLAND,MD,Talbot,24041,"Talbot County, Maryland",268.558345,37211,0,20201,84,16627,367,3508,558,615,131,47302,3296,2633,314,10365,86,6852,19,5067,412,1363,225,8277,185,522,196,585,202,399,111,134,81,804,180,411,155,9.5,1.5,3.3,0.7,47302.0,3296.0,9.4,1.1,27.9,0.2,18.4,0.1,13.8,1.1,8.2,1.3,22.2,0.5,1.5,0.6,2.9,1.0,2.0,0.5,0.8,0.5,4.8,1.1,1.1,0.4,0.6087,0.0435,0.087,0.4783,1.2175,0.3478,1.0,0.1739,0.6087,0.4783,2.2609,0.7826,0.3478,0.5217,0.8695,0.4348,0.087,0.4348,0.0435,0.3478,0.2174,1.1305,0.087,5.4784,0.2174,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1777,286,4.8,0.8,37264
24,MARYLAND,MD,Charles,24017,"Charles County, Maryland",457.8008584,157671,0,59763,142,55903,474,9423,1078,3319,445,39696,776,7240,562,18623,75,38347,0,13772,803,6267,531,92000,95,1766,414,3820,413,601,171,757,222,1999,303,2346,313,6.1,0.7,4.0,0.5,39696.0,776.0,6.9,0.5,11.8,0.1,24.3,0.0,8.9,0.5,11.2,0.9,58.3,0.1,1.2,0.3,6.4,0.7,1.0,0.3,1.4,0.4,3.6,0.5,1.5,0.2,0.2174,0.2174,0.3478,0.087,0.8696,0.1304,0.0,0.913,0.087,0.7826,1.7826,0.3478,0.913,0.4348,1.3478,0.6957,0.4348,0.2609,0.5217,0.087,0.3043,1.6087,0.1739,5.6087,0.2609,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,5613,743,3.6,0.5,117147
24,MARYLAND,MD,Frederick,24021,"Frederick County, Maryland",660.4683789,248472,0,95986,206,91405,596,17341,1393,6315,399,41432,666,12884,839,34178,65,58354,38,26972,1145,7073,528,63927,160,5163,741,10358,628,833,226,1134,213,3799,389,4698,497,7.1,0.6,4.6,0.3,41432.0,666.0,7.6,0.5,13.8,0.1,23.5,0.0,11.0,0.5,7.7,0.6,25.7,0.1,2.2,0.3,10.8,0.7,0.9,0.2,1.2,0.2,4.2,0.4,1.9,0.2,0.3043,0.3478,0.2609,0.1739,1.0869,0.2609,0.2174,0.7826,0.3043,0.3478,1.6521,0.2609,0.5652,0.7826,1.3478,0.6957,0.6522,0.1739,0.2609,0.2174,0.4783,1.7827,0.2609,5.8695,0.3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11739,1103,4.8,0.4,228950
24,MARYLAND,MD,Anne Arundel,24003,"Anne Arundel County, Maryland",414.7844153,567696,0,222589,470,207599,1249,33045,2639,14221,968,44979,620,30657,1582,79994,110,127102,0,57278,1773,15556,1012,176118,358,8381,857,28660,1131,4129,417,3585,470,7882,595,16787,1009,6.0,0.5,4.6,0.3,44979.0,620.0,7.9,0.4,14.1,0.1,22.4,0.0,10.5,0.3,7.5,0.5,31.0,0.1,1.6,0.2,12.9,0.5,1.9,0.2,1.7,0.2,3.8,0.3,3.0,0.2,0.1739,0.3478,0.1304,0.2609,0.913,0.1739,0.3043,0.5652,0.1739,0.2609,1.3043,0.0435,0.6087,0.6522,1.2609,0.6087,0.7391,0.3913,0.6522,0.1739,0.7391,2.6956,0.6087,6.1738,0.3478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25750,1616,4.7,0.3,521861
24,MARYLAND,MD,Garrett,24023,"Garrett County, Maryland",649.0770135,29376,0,19288,64,12073,332,2788,389,570,119,27980,1147,2290,251,6227,36,5646,35,4769,435,839,161,1027,21,51,83,588,117,1567,246,116,84,791,162,667,140,9.7,1.4,4.0,0.8,27980.0,1147.0,10.7,1.2,21.2,0.1,19.2,0.1,16.5,1.5,6.9,1.3,3.5,0.1,0.2,0.3,3.0,0.6,8.1,1.3,1.0,0.7,6.6,1.3,2.3,0.5,0.6522,0.2174,0.8261,0.6087,2.3044,0.5652,0.8696,0.2174,0.913,0.1304,2.1304,0.5652,0.0,0.0,0.0,0.0,0.1304,0.9565,0.1304,0.5652,0.6087,2.3912,0.3478,6.826,0.3913,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,2113,389,7.3,1.3,25974
