,County,Pop,Size,Density,Mean Income,Median Income,Income Inequality,20200329,20200330,20200331,20200401,20200402,20200403,20200404,20200406,20200407,20200408,20200409,20200410,20200411,20200412,20200413,20200414,20200415,20200416,20200417,20200418,20200419,20200420,20200421,20200422,20200423,20200424,20200425,20200426,20200427,20200428,20200429,20200430,20200501,20200502,20200503,20200504,20200505,20200506,20200507,20200508,20200509,20200510,20200511,20200512,20200513,20200514,20200515,20200516,20200517,20200518,20200519,20200520,20200521,20200522,20200523,20200524,20200525,20200526,20200527,20200528,20200529,20200530,20200531,20200601,20200602,20200603,20200604,20200605,20200606,20200607,20200608,20200609,20200610,20200611,20200612,20200613,20200614,20200615,20200616,20200617,20200618,20200619,20200620,20200621,20200622,20200623,20200624,20200625,20200626,20200627,20200628,20200629,20200630,20200701,20200702,20200703,20200704,20200705,20200706,20200707,20200708,20200709,20200710,20200711,20200712,20200713,20200714,20200715,20200716,20200717,20200718,20200719,20200720,20200721,20200722,20200723,20200724,20200725,20200726,20200727,20200728,20200729,20200730,20200731,20200801,20200802,20200803,20200804,20200805,20200806,20200807,20200808,20200809,20200810,20200811,20200812,20200813,20200814,20200815,20200816,20200817,20200818,20200819,20200820,20200821,20200822,20200823,20200824,20200825,20200826,20200827,20200828,20200829,20200830,20200831,20200901,20200902,20200903,20200904,20200905,20200906,20200907,20200908,20200909,20200910,20200911,20200912,20200913,20200914,20200915,20200916,20200917,20200918,20200919,20200920,20200921,20200922,20200923,20200924,20200925,20200926,20200927,20200928,20200929,20200930,20201001,20201002,20201003,20201004,20201005,20201006,20201007,20201008,20201009,20201010,20201011,20201012,20201013,20201014,20201015,20201016,20201017,20201018,20201019,20201020,20201021,20201022,20201023,20201024,20201025,20201026,20201027,20201028,20201029,20201030,20201031,20201101,20201102,20201103,20201104,20201105,20201106,20201107,20201108,20201109,20201110,20201111,20201112,20201113,20201114,20201115,20201116,20201117,20201118,20201119,20201120,20201121,20201122,20201123,20201124,20201125,20201126,20201127,20201128,20201129,20201130,20201201,20201202,20201203,20201204,20201205,20201206,20201207,20201208,20201209,20201210,20201211,20201212,20201213,20201214,20201215,20201216,20201217,20201218,20201219,20201220,20201221,20201222,20201223,20201224,20201225,20201226,20201227,20201228,20201229,20201230,20201231,20210101,20210102,20210103,20210104,20210105,20210106,20210107,20210108,20210109,20210110,20210111,20210112,20210113,20210114,20210115,20210116,20210117,20210118,20210119,20210120,20210121,20210122,20210123,20210124,20210125,20210126,20210127,20210128,20210129,20210130,20210131,20210201,20210202,20210203,20210204,20210205,20210206,20210207,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308,20210309,20210310,20210311,20210312,20210313,20210314,20210315,20210316,20210317,20210318,20210319,20210320,20210321,20210322,20210323,20210324,20210325,20210326,20210327,20210328,20210329,20210330,20210331,20210401,20210402,20210403,20210404,20210405,20210406,20210407,20210408,20210409,20210410,20210411,20210412,20210413,20210414,20210415,20210416,20210417,20210418,20210419,20210420
0,Orange (CA),3176000,6,529333.3,125325,95000,1.32,403,431,464,502,656,656,711,834,882,931,1079,1079,1138,1221,1277,1283,1299,1425,1425,1556,1636,1636,1676,1691,1753,1827,1845,1969,2074,2126,2151,2252,2393,2514,2636,2743,2819,2873,3004,3092,3380,3468,3557,3602,3602,3749,4125,4125,4376,4376,4434,4500,4742,4841,4999,5157,5469,5469,5578,5646,5784,5923,6198,6474,6474,6628,6783,7064,7321,7440,7527,7614,7737,7945,8153,8269,8573,8759,8999,9197,9292,9576,9988,10422,10595,10737,11016,11511,11960,12462,12608,13064,13843,14413,15065,15628,16191,16854,17882,18892,20225,21517,22650,23901,24715,25255,26120,27031,27904,28457,29011,29426,29986,30976,31743,32648,33223,33798,34373,34646,34833,35272,35778,36315,36852,37391,37728,38066,38131,38711,38754,39076,39641,40527,40527,41823,42171,42769,43367,43709,43960,44212,44507,44936,45368,45801,45954,46307,46642,47090,47459,47782,48113,48444,48538,48825,48983,49142,49258,49509,49677,49845,50053,50261,50471,50615,50760,50884,51008,51132,51259,51399,51646,51873,52037,52201,52341,52481,52622,52904,53069,53315,53448,53599,53751,53909,54118,54357,54640,54760,54898,55042,55183,55380,55577,55775,55892,56087,56283,56436,56587,56672,56868,57071,57373,57635,57848,58087,58326,58525,58725,58980,59211,59442,59662,59882,60115,60298,60569,60841,61131,61421,61743,62153,62563,62830,63165,63611,64058,64641,65225,65605,65957,66585,67167,68154,69142,69694,71116,71953,73152,73152,75095,76761,77819,78553,79343,80551,81653,82887,84853,86878,88842,90513,93126,94647,97302,100122,102942,105764,109328,112893,115260,118367,121838,125309,128780,130444,133968,137492,141016,144542,147463,149607,152089,156573,157183,161586,164583,167580,170579,172458,175032,177733,181922,186608,191004,193766,196340,199546,202753,205911,208362,210813,212389,214449,216509,217849,219671,221493,225524,229555,233586,237617,241648,243212,244595,245978,246932,247886,248510,249195,250233,251271,252311,253105,253900,254417,255254,255254,255799,256344,256889,257589,257816,258182,258567,258936,259305,259589,259873,260157,260439,260721,260950,261179,261408,261597,261786,261976,262241,262415,262589,262763,262937,263111,263279,263471,263645,263819,263994,264033,264216,264335,264478,264600,264729,264858,264989,265219,265356,265536,265653,265787,265922,266057,266192,266327,266464,266643,266822,267001,267128,267255,267383,267492,267833,268175,268304,268412,268521,268622,268762,268865,268968,269071,269176
1,Litchfield (CT),180333,27,6679.0,118802,86324,1.38,113,121,131,141,173,182,197,230,255,255,315,346,388,403,446,460,490,535,569,593,600,639,643,722,751,808,834,864,892,900,919,963,1014,1036,1036,1047,1065,1085,1114,1130,1142,1153,1161,1171,1179,1203,1218,1234,1269,1280,1290,1299,1303,1298,1304,1331,1346,1360,1360,1366,1375,1381,1397,1400,1402,1404,1406,1409,1413,1419,1426,1432,1430,1435,1435,1439,1442,1441,1443,1444,1447,1448,1467,1467,1467,1469,1469,1469,1471,1482,1482,1487,1490,1490,1492,1494,1494,1494,1504,1508,1509,1510,1510,1510,1510,1512,1512,1517,1520,1523,1523,1523,1524,1525,1530,1530,1560,1560,1560,1568,1570,1593,1599,1597,1597,1597,1598,1600,1606,1607,1610,1610,1610,1615,1618,1617,1620,1632,1632,1632,1637,1636,1638,1642,1645,1645,1645,1658,1658,1662,1673,1688,1688,1688,1709,1713,1717,1721,1728,1728,1728,1728,1751,1752,1763,1773,1773,1773,1793,1798,1804,1815,1822,1822,1822,1841,1845,1849,1856,1857,1857,1857,1872,1874,1884,1890,1899,1899,1899,1921,1911,1915,1916,1919,1919,1919,1940,1952,1956,1959,1991,1991,1991,2033,2051,2064,2086,2116,2116,2116,2192,2209,2228,2279,2305,2305,2305,2404,2430,2448,2531,2559,2559,2559,2704,2777,2844,2906,3010,3010,3010,3222,3299,3381,3500,3602,3602,3602,3853,3908,4015,4015,4231,4231,4231,4503,4547,4669,4857,4931,4931,4931,5358,5471,5569,5710,5796,5796,5796,6061,6138,6270,6385,6515,6590,6665,6740,6786,6840,6894,6948,7004,7004,7303,7339,7422,7476,7476,7592,7708,7826,7885,7977,8117,8239,8239,8239,8496,8631,8713,8796,8879,8879,8879,9118,9192,9266,9317,9354,9391,9481,9571,9661,9751,9842,9883,9883,9883,10012,10142,10165,10201,10219,10237,10256,10362,10468,10529,10569,10604,10639,10674,10710,10743,10765,10790,10835,10835,10835,10908,10981,11055,11079,11103,11136,11169,11204,11226,11248,11271,11293,11328,11363,11398,11433,11469,11507,11575,11618,11661,11704,11752,11782,11858,11942,11942,12026,12110,12195,12286,12388,12518,12518,12518,12661,12805,12891,12977,13064,13114,13164,13216,13282,13348,13415,13506,13506,13506,13637,13699,13761,13811,13859,13902,13945,13988,14034
2,DC,702500,9,78055.6,149059,88553,1.68,342,401,495,586,653,757,757,998,1211,1211,1523,1523,1660,1875,1955,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4837,5016,5170,5322,5461,5654,5654,6102,6245,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551,7788,7893,7930,7966,8225,8334,8406,8492,8604,8717,8787,8857,8886,9003,9120,9199,9269,9332,9403,9474,9537,9595,9654,9709,9767,9799,9818,9847,9903,9952,9984,10020,10058,10094,10128,10159,10185,10216,10248,10292,10327,10365,10390,10418,10447,10482,10515,10569,10642,10679,10743,10801,10847,10906,10946,11026,11076,11135,11194,11261,11339,11427,11529,11571,11640,11709,11780,11780,11945,11999,12057,12057,12057,12057,12227,12398,12443,12518,12589,12653,12753,12807,12896,12959,13024,13091,13159,13220,13272,13325,13354,13409,13471,13534,13534,13639,13684,13684,13794,13851,13905,13959,13992,14049,14092,14135,14186,14238,14276,14315,14347,14379,14412,14452,14493,14555,14617,14679,14743,14790,14852,14902,14940,14978,15020,15062,15106,15163,15215,15250,15264,15295,15326,15326,15326,15326,15519,15547,15652,15652,15765,15838,15911,15984,16022,16077,16132,16166,16255,16334,16370,16395,16445,16498,16537,16621,16706,16759,16812,16906,16990,17074,17170,17266,17369,17438,17519,17601,17696,17792,17891,17989,18087,18173,18379,18522,18666,18821,18977,19064,19309,19465,19678,19819,19961,20151,20290,20409,20516,20736,20937,21038,21448,21552,21685,21842,22164,22480,22872,23136,23319,23589,23854,24098,24357,24584,24811,25038,25320,25602,25830,26104,26316,26528,26740,26900,27102,27304,27506,27710,28202,28342,28535,28758,28983,29252,29469,29686,29904,30166,30482,30750,31107,31457,31791,31993,32423,32621,32820,33140,33495,33851,34033,34218,34403,34612,34844,35077,35288,35499,35710,35921,36132,36414,36643,36872,36940,37008,37199,37365,37588,37811,38035,38158,38281,38348,38533,38670,38780,38890,39001,39131,39180,39301,39461,39554,39648,39746,39844,39943,40113,40284,40417,40550,40684,40794,40904,41014,41014,41212,41410,41608,41806,42006,42128,42282,42395,42508,42623,42730,42811,42892,43034,43175,43279,43383,43488,43595,43669,43825,44051,44175,44294,44413,44544,44675,44807,44908,45009,45112,45240,45368,45498,45634,45732,45830,45903,46056,46209,46315,46449,46554,46659,46764,46869
3,Sarasota (FL),433742,20,21687.1,79614,47884,1.66,62,70,82,110,124,129,140,151,172,180,190,208,219,226,230,241,252,260,274,279,284,291,297,299,310,314,318,321,323,334,338,352,365,372,377,385,395,405,412,416,418,426,430,435,440,487,496,498,508,518,533,538,550,565,576,586,590,594,598,611,622,629,635,639,647,649,652,658,669,680,686,694,705,716,724,741,767,780,789,803,833,868,926,962,992,1031,1091,1139,1245,1341,1401,1447,1482,1601,1707,1814,2059,2160,2191,2249,2334,2431,2548,2641,3106,3219,3334,3447,3724,3880,4065,4245,4338,4432,4567,4644,4837,5006,5103,5168,5274,5349,5443,5588,5672,5724,5814,5854,5940,6025,6095,6164,6231,6256,6314,6394,6479,6565,6652,6689,6726,6764,6814,6850,6915,6980,7021,7016,7042,7066,7091,7136,7164,7193,7207,7239,7272,7305,7338,7378,7406,7434,7456,7478,7500,7542,7585,7616,7647,7678,7709,7752,7795,7848,7875,7903,7938,7973,8009,8065,8107,8142,8147,8168,8189,8233,8270,8329,8343,8376,8407,8457,8518,8558,8598,8639,8684,8735,8786,8841,8908,8969,9020,9057,9115,9156,9235,9287,9340,9384,9429,9517,9587,9657,9701,9745,9811,9966,10024,10082,10164,10247,10312,10395,10478,10529,10812,10881,10951,11074,11198,11274,11528,11620,11905,12112,12319,12419,12567,12757,12920,12920,13375,13453,13647,13763,13917,14093,14257,14384,14575,14753,14862,15024,15168,15342,15527,15656,15785,15915,16052,16189,16389,16537,16683,16829,16975,17110,17269,17428,17587,17748,17834,17916,18144,18371,18607,18607,18874,19141,19409,19787,20190,20512,20774,21017,21223,21328,21626,21823,22021,22393,22501,22609,22705,22871,23037,23227,23472,23718,23798,23878,23958,24038,24119,24353,24556,24759,24887,25015,25064,25158,25255,25352,25449,25510,25572,25700,25801,25878,25922,25966,26011,26071,26193,26229,26352,26420,26488,26563,26638,26714,26798,26882,26943,27004,27065,27143,27221,27301,27376,27446,27516,27586,27656,27728,27793,27863,27917,27971,28025,28092,28175,28254,28325,28399,28463,28527,28592,28684,28799,28913,28997,29096,29172,29248,29360,29472,29584,29671,29758,29846,29974,30102,30231,30385,30496,30608,30637,30743,30849,30986,31104,31219,31334,31449,31567
4,Gwinnett (GA),936250,17,55073.5,90540,70063,1.29,158,238,250,282,329,364,408,443,525,565,603,646,675,690,739,815,852,896,1017,1050,1099,1181,1222,1273,1351,1382,1460,1504,1545,1603,1720,1787,1846,1934,1976,2056,2102,2222,2253,2323,2403,2447,2475,2496,2510,2552,2597,2597,2594,2680,2771,2820,2882,2961,2997,3056,3198,3307,3480,3619,3733,3769,3780,3870,3891,4063,4267,4372,4433,4440,4598,4692,4808,4980,5089,5141,5172,5308,5451,5658,5753,5958,6043,6151,6407,6636,7036,7223,7463,7604,7685,7755,8082,8362,8619,9085,9482,9645,9787,9972,10237,10415,10741,11074,11304,11691,11882,12217,12489,12897,13234,13444,13614,13878,14099,14442,14801,15134,15315,15534,15915,16255,16711,17130,17511,17781,17927,18201,18550,18854,19187,19548,19808,19971,20382,20685,20900,21175,21411,21534,21655,21936,22196,22455,22786,22991,23096,23178,23411,23636,23812,23972,24137,24182,24252,24477,24608,24763,24870,25019,25107,25127,25215,25376,25495,25611,25726,25806,25863,26019,26133,26280,26403,26550,26618,26678,26744,26931,27051,27187,27296,27358,27424,27519,27647,27733,27844,27986,28074,28129,28207,28328,28461,28593,28712,28796,28861,29015,29157,29295,29418,29558,29689,29748,29866,29916,29959,30109,30204,30306,30383,30489,30596,30746,30894,31102,31218,31348,33465,33721,33864,34112,34224,34383,34491,34880,35082,35316,35549,35812,35995,36087,36485,36713,36973,37236,37766,37946,38123,38432,38672,38986,39249,39510,39694,39906,40332,40884,41349,42016,42427,42632,43025,43747,44287,45002,45489,46030,46579,46962,47725,48257,48941,49541,49968,50395,50824,51683,52280,52877,53474,54074,54368,54894,55727,56485,57492,58565,59068,59571,60074,61138,61578,62618,63999,65067,65881,66849,68006,68864,69723,70658,71433,72209,72796,73791,74787,75995,77244,78494,79162,79830,80498,81166,81838,82359,82864,83370,83790,84210,84740,85320,85673,86026,86381,86663,86946,87303,87674,87985,88235,88485,88737,89010,89315,89592,89853,90076,90299,90550,90801,91053,91381,91710,91943,92176,92410,92670,92930,93192,93360,93525,93690,93855,94020,94189,94313,94440,94518,94596,94676,94809,94989,95203,95315,95447,95576,95705,95835,95944,96112,96252,96379,96486,96593,96701,96837,96973,97109,97190,97271,97354,97491,97628,97767,97881,98030,98180,98240,98411,98582,98705,98907,99027,99147,99267,99390
5,Baltimore County,827370,24,34473.8,119116,83824,1.42,162,186,227,289,353,427,427,590,652,652,979,979,1072,1257,1361,1377,1485,1516,1569,1664,1733,1875,1925,2012,2132,2234,2387,2509,2548,2631,2740,2831,3013,3157,3301,3448,3430,3527,3662,3763,3737,3842,3948,4051,4160,4290,4399,4549,4624,4749,4920,5025,5135,5170,5271,5373,5476,5498,5562,5678,5816,5955,6127,6299,6385,6430,6476,6590,6696,6753,6802,6852,6916,6983,7051,7107,7151,7199,7248,7329,7371,7403,7480,7537,7585,7635,7652,7710,7768,7800,7847,7929,7985,8040,8105,8169,8234,8285,8335,8381,8443,8497,8581,8675,8797,8892,8990,9153,9261,9389,9517,9723,9828,9994,10153,10345,10538,10731,10924,11124,11252,11423,11615,11801,11987,12175,12350,12525,12666,12777,12915,13060,13257,13400,13374,13463,13593,13720,13847,13941,14028,14116,14180,14327,14456,14585,14693,14788,14823,14912,15043,15149,15265,15382,15479,15593,15709,15825,15959,16081,16191,16302,16348,16394,16441,16544,16648,16777,16906,17035,17165,17221,17288,17365,17425,17486,17542,17598,17655,17720,17782,17837,17902,17948,17994,18148,18213,18285,18354,18409,18455,18522,18668,18770,18872,18974,19043,19109,19176,19275,19403,19494,19565,19646,19749,19799,19897,20002,20108,20190,20273,20419,20544,20670,20843,21017,21194,21349,21477,21605,21825,22046,22267,22467,22668,22864,23104,23393,23682,23983,24285,24594,24897,25253,25753,26168,26583,26967,27223,27402,27780,28146,28504,28752,29008,29315,29645,29897,30187,30671,31077,31416,31708,32014,32387,32853,33125,33453,33781,34109,34405,34702,35002,35283,35541,35799,36058,36334,36589,36844,37099,37356,37549,37799,37971,38280,38657,39001,39284,39567,39851,40026,40428,40759,41229,41602,41972,42307,42505,42804,43103,43403,43730,44057,44207,44423,44639,44944,45201,45459,45690,45921,46152,46383,46618,46843,47092,47341,47474,47608,47735,47890,48085,48280,48477,48554,48631,48800,48976,49111,49222,49333,49444,49497,49653,49762,49897,49980,50063,50159,50255,50351,50510,50669,50770,50871,50972,51087,51202,51318,51492,51612,51732,51852,51972,52096,52271,52450,52576,52702,52828,52936,53073,53282,53445,53628,53762,53896,54031,54243,54484,54740,55000,55245,55428,55611,55908,56205,56503,56742,56981,57222,57472,57722,57972,58366,58679,58992,59201,59476,59751,60053,60389,60611,60833,61055,61278
6,Baltimore City,619500,8,77437.5,75390,52262,1.44,129,152,187,221,265,313,313,394,459,459,638,638,689,812,873,962,1060,1160,1273,1378,1392,1511,1542,1602,1672,1728,1791,1866,1933,1977,2014,2068,2162,2240,2319,2411,2609,2752,2856,2941,3208,3280,3353,3404,3476,3505,3606,3719,3798,3830,4002,4152,4339,4492,4637,4782,4888,4997,5054,5203,5383,5564,5584,5604,5688,5797,5906,6038,6141,6229,6292,6355,6428,6493,6559,6633,6689,6747,6782,6866,6906,6938,6993,7053,7095,7148,7210,7258,7299,7363,7416,7498,7546,7605,7701,7779,7857,7897,7960,8000,8071,8155,8249,8367,8489,8566,8689,8835,8998,9141,9284,9428,9505,9644,9738,9842,10012,10182,10353,10579,10702,10826,11004,11195,11386,11577,11710,11844,11953,12075,12239,12375,12547,12704,12893,12991,13063,13202,13341,13425,13495,13566,13643,13708,13802,13897,13981,14072,14110,14172,14243,14312,14368,14424,14478,14535,14580,14626,14692,14767,14864,14962,15005,15048,15092,15137,15183,15158,15133,15108,15085,15129,15177,15204,15231,15259,15297,15335,15374,15431,15484,15525,15582,15605,15629,15793,15864,15898,15954,16023,16056,16100,16263,16324,16385,16448,16508,16546,16584,16647,16681,16773,16842,16906,16937,17000,17079,17195,17312,17409,17506,17581,17677,17774,17875,17976,18100,18211,18334,18457,18640,18824,19065,19211,19358,19549,19768,19982,20197,20467,20737,21010,21186,21409,21783,22124,22466,22699,22932,23087,23361,23682,23955,24120,24309,24521,24762,25006,25270,25686,25952,26194,26419,26593,26897,27197,27464,27732,28000,28270,28428,28586,28853,29020,29206,29392,29578,29865,30051,30237,30423,30612,30777,30989,31123,31312,31537,31911,32108,32305,32503,32689,32982,33215,33528,33848,34121,34400,34443,34675,34907,35199,35404,35610,35773,35914,36055,36283,36485,36688,36843,36998,37153,37308,37464,37625,37788,37951,38035,38120,38194,38311,38451,38591,38733,38821,38909,39025,39131,39253,39334,39415,39497,39552,39560,39633,39701,39770,39839,39905,39971,40037,40111,40186,40282,40378,40474,40518,40562,40608,40728,40821,40914,41007,41100,41193,41282,41415,41548,41681,41814,41906,42036,42230,42418,42550,42690,42830,42970,43156,43351,43578,43782,44016,44203,44390,44625,44860,45097,45339,45581,45825,46051,46277,46503,46778,47073,47368,47579,47812,48045,48311,48579,48786,48993,49200,49409
7,Herkimer (NY),61319,61,1005.2,66243,52917,1.25,9,10,12,12,12,14,14,22,25,27,32,32,36,37,37,38,39,43,43,47,49,49,50,50,53,54,56,56,58,58,58,58,60,60,61,63,63,67,68,74,77,79,81,81,81,84,87,87,91,91,92,92,93,95,97,100,103,103,103,105,106,107,108,109,109,111,113,115,122,123,124,125,125,126,127,128,128,128,128,128,128,131,134,136,137,137,142,143,149,154,158,159,159,162,164,168,172,173,179,181,181,182,184,188,192,193,195,197,202,203,204,206,206,208,211,213,218,223,230,234,236,236,239,239,239,241,251,262,264,268,270,273,274,274,277,277,278,280,282,283,283,284,284,284,286,289,289,289,290,292,294,294,295,297,297,298,301,305,306,306,307,308,308,308,308,310,312,312,312,312,314,316,318,319,320,321,323,325,329,331,334,334,335,336,338,340,342,344,346,348,349,353,355,356,357,359,361,362,363,367,367,368,370,370,371,374,376,380,384,386,389,390,392,394,395,396,399,407,412,418,426,434,443,446,449,449,472,476,480,485,491,504,508,524,537,550,564,575,582,603,616,631,645,664,691,709,731,755,789,822,847,885,917,941,986,1020,1062,1106,1150,1196,1237,1279,1314,1367,1409,1451,1495,1541,1608,1675,1742,1810,1844,1906,1980,2049,2138,2230,2311,2392,2473,2542,2646,2750,2862,2956,3038,3101,3182,3242,3303,3423,3475,3528,3561,3621,3682,3743,3819,3896,3935,3974,4013,4052,4091,4147,4175,4203,4229,4255,4268,4282,4303,4324,4347,4362,4378,4392,4401,4409,4421,4433,4447,4460,4468,4476,4489,4497,4505,4513,4521,4531,4532,4534,4543,4552,4561,4566,4571,4578,4588,4594,4600,4606,4612,4621,4627,4627,4634,4641,4649,4655,4666,4674,4678,4695,4701,4707,4715,4724,4727,4735,4745,4754,4758,4762,4770,4778,4788,4795,4802,4810,4816,4822,4830,4836,4842,4848,4856,4869,4883,4896,4909,4917,4925,4933,4941
8,Nassau (NY),1357000,16,84812.5,163969,117069,1.4,6445,7344,8544,9554,10587,12024,13346,14398,15616,16610,18548,20140,21512,22584,23553,24358,25250,26715,27772,28539,29180,30013,30677,31079,31555,32124,32765,33798,34522,34865,35085,35505,35854,36161,36519,36780,36965,37152,37350,37593,37812,38028,38217,38337,38434,38587,38743,38864,39033,39136,39225,39295,39368,39487,39608,39726,39837,39907,39974,40034,40170,40307,40393,40479,40479,40596,40713,40797,40853,40904,40942,40980,41015,41064,41114,41172,41204,41240,41290,41320,41349,41387,41443,41479,41513,41544,41585,41646,41684,41725,41754,41780,41807,41853,41910,41949,41988,42031,42053,42088,42122,42164,42232,42267,42307,42354,42423,42462,42506,42550,42594,42622,42678,42729,42765,42816,42864,42912,42960,43017,43059,43100,43158,43212,43266,43322,43379,43436,43482,43534,43580,43628,43655,43690,43724,43761,43795,43843,43891,43929,43965,44001,44063,44112,44158,44205,44245,44284,44348,44403,44450,44503,44556,44610,44677,44761,44842,44924,45008,45115,45172,45229,45301,45373,45445,45539,45633,45701,45769,45837,45906,45989,46052,46154,46206,46259,46317,46375,46434,46505,46576,46643,46711,46784,46857,46929,47034,47167,47246,47302,47392,47516,47656,47748,47840,47933,47998,48091,48184,48272,48377,48494,48596,48657,48731,48864,48941,49072,49203,49290,49377,49496,49668,49841,49999,50158,50294,50407,50554,50702,50933,51164,51418,51656,51895,51895,52575,52923,53271,53642,54014,54309,54715,55112,55486,55877,56269,56706,57127,57489,57985,58567,59238,59700,60181,60701,61162,61988,62745,63661,64359,65098,65632,66495,67203,67978,68737,69562,70387,71214,72059,72904,73757,74658,75468,76278,77088,77968,79034,80100,81166,82233,83045,84044,85023,86296,87904,89460,90675,91890,93106,94379,96112,97746,99439,101181,102584,104078,105497,106811,108126,109984,111343,112702,113812,114938,116065,117371,118652,119933,121020,122107,123194,124281,125370,126604,127669,128735,129560,130386,130933,131544,132438,133332,134227,134969,135711,136277,137196,137944,138665,139386,140107,140686,141224,141738,142467,143041,143615,144173,144731,145290,145637,145985,146879,147773,148669,149292,149915,150538,151327,151919,152511,153103,153695,154288,154867,154867,155698,156529,157362,157985,158769,159401,160103,160800,161360,161920,162481,163084,163785,164481,165095,165785,166333,166881,167548,168215,168884,169482,170080,170680,171302,171924,172548,173216,173747,174279,174673,175032,175392,175919,176399,176782,177165,177548,177933
