ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
13,GEORGIA,GA,Oconee,13219,"Oconee County, Georgia",184.3299462,37017,0,13879,41,13093,255,2165,733,652,157,41671,2395,1327,257,5357,112,9934,35,3643,430,1046,203,5710,77,424,205,103,61,715,207,221,121,298,116,214,55,5.9,2.0,3.5,0.8,41671.0,2395.0,5.5,1.1,14.5,0.3,26.8,0.1,9.9,1.2,8.0,1.5,15.4,0.2,1.2,0.6,0.7,0.4,5.2,1.5,1.7,0.9,2.3,0.9,0.6,0.1,0.0063,0.0253,0.0127,0.0063,0.0506,0.0,0.2722,0.9304,0.0316,0.2342,1.4684,0.1519,0.1139,0.557,0.6709,0.2658,0.2152,0.1139,0.2785,0.019,0.1203,0.7469,0.0,2.9368,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2492,497,6.8,1.4,33331
13,GEORGIA,GA,Forsyth,13117,"Forsyth County, Georgia",224.5513158,219880,0,77798,101,73675,456,12863,1191,4008,416,41585,674,10170,678,25021,50,62150,33,15706,705,4236,378,58718,133,4965,541,2614,329,3249,380,731,189,1294,209,653,108,5.9,0.5,3.5,0.4,41585.0,674.0,7.2,0.5,11.4,0.1,28.3,0.0,7.2,0.3,5.7,0.5,26.7,0.1,2.4,0.3,3.4,0.4,4.2,0.5,1.0,0.3,1.8,0.3,0.3,0.0,0.0063,0.0253,0.019,0.0127,0.0633,0.0063,0.0823,0.9873,0.0063,0.0696,1.1455,0.0506,0.2532,0.8165,1.0697,0.5506,0.7468,0.0886,0.1203,0.0,0.0443,1.0,0.019,3.2785,0.0063,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,19482,1412,8.9,0.6,189445
13,GEORGIA,GA,Pike,13231,"Pike County, Georgia",216.0856704,18082,0,6931,35,6106,173,2320,482,529,173,26737,2232,1599,216,2759,21,4320,0,2258,257,236,89,2387,16,9,82,39,28,901,168,80,44,207,72,250,80,13.1,2.7,6.4,2.1,26737.0,2232.0,13.0,1.8,15.3,0.2,23.9,0.0,12.7,1.5,3.9,1.5,13.2,0.1,0.1,0.5,0.6,0.4,13.0,2.4,1.3,0.7,3.4,1.2,1.4,0.4,0.1266,0.4494,0.2025,0.2025,0.981,0.1646,0.3734,0.5633,0.1646,0.0,1.1013,0.0316,0.0949,0.0633,0.1582,0.0063,0.1709,0.2722,0.1772,0.1013,0.4241,1.1457,0.057,3.3862,0.0127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2333,365,13.1,2.1,12145
13,GEORGIA,GA,Catoosa,13047,"Catoosa County, Georgia",162.1623941,66299,0,27220,73,24636,447,6425,1113,1301,273,26915,978,5727,637,11119,112,15397,31,9701,794,1508,305,5850,31,327,199,553,179,3139,379,264,157,878,231,569,158,9.8,1.7,3.9,0.8,26915.0,978.0,12.6,1.4,16.8,0.2,23.2,0.0,14.7,1.2,6.1,1.2,8.8,0.0,0.5,0.3,2.0,0.7,11.5,1.4,1.1,0.6,3.6,0.9,0.9,0.2,0.0633,0.0633,0.1962,0.1709,0.4937,0.0633,0.557,0.462,0.3165,0.1076,1.4431,0.1456,0.0443,0.2278,0.2721,0.057,0.5696,0.2405,0.1519,0.1266,0.2215,1.3101,0.0759,3.519,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7906,816,12.0,1.2,50055
13,GEORGIA,GA,Dawson,13085,"Dawson County, Georgia",210.828004,23861,0,11140,37,8711,379,2045,574,468,169,32646,2421,2376,508,4659,98,5006,70,3490,437,371,165,1776,14,157,132,225,109,1123,242,175,88,183,105,174,74,8.7,2.4,4.0,1.5,32646.0,2421.0,14.0,3.0,19.5,0.4,21.0,0.3,14.8,1.9,4.3,1.9,7.4,0.1,0.7,0.6,2.0,1.0,10.1,2.2,2.0,1.0,2.1,1.2,0.7,0.3,0.038,0.0696,0.0633,0.2405,0.4114,0.038,0.8291,0.2595,0.3291,0.0063,1.424,0.1329,0.0253,0.3228,0.3481,0.0759,0.5696,0.1899,0.4241,0.0063,0.1646,1.3545,0.1013,3.538,0.0253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2639,508,11.2,2.2,22536
13,GEORGIA,GA,Paulding,13223,"Paulding County, Georgia",312.2916058,155840,0,55449,80,52389,497,14599,1771,3420,502,27855,833,9937,953,15766,158,42046,0,15164,1009,5282,729,43518,80,954,311,1079,315,1720,354,898,289,1239,303,674,166,9.4,1.1,4.3,0.6,27855.0,833.0,9.9,1.0,10.1,0.1,27.0,0.0,9.8,0.7,10.1,1.4,27.9,0.1,0.7,0.2,1.9,0.6,3.1,0.6,1.7,0.6,2.4,0.6,0.4,0.1,0.0506,0.1266,0.1646,0.0949,0.4367,0.0506,0.0316,0.9494,0.0253,0.538,1.5443,0.2025,0.2722,0.3228,0.595,0.2215,0.5506,0.0506,0.2785,0.0253,0.0696,0.9746,0.0127,3.5506,0.0316,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,16893,1706,10.9,1.1,99395
13,GEORGIA,GA,Fayette,13113,"Fayette County, Georgia",194.3715005,111369,0,42106,104,39753,443,6190,1204,2780,404,42126,1275,3926,431,19089,98,26071,73,10655,591,2623,342,41121,190,1341,330,1773,351,1015,186,343,111,1035,219,568,165,5.6,1.1,5.0,0.7,42126.0,1275.0,5.2,0.6,17.1,0.1,23.4,0.1,9.6,0.5,6.6,0.9,36.9,0.2,1.3,0.3,4.2,0.8,2.4,0.4,0.9,0.3,2.6,0.6,0.5,0.1,0.0,0.2405,0.0063,0.0,0.2468,0.0127,0.6203,0.519,0.019,0.1456,1.3039,0.1013,0.4873,0.5823,1.0696,0.5443,0.7848,0.0316,0.0886,0.0443,0.1013,1.0506,0.0253,3.6709,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8047,1067,7.3,1.0,97793
13,GEORGIA,GA,Cherokee,13057,"Cherokee County, Georgia",421.0827875,241910,0,89932,191,85825,705,19423,2058,5465,767,35199,753,13931,1181,31100,184,61214,0,23885,1383,5928,700,49800,192,5883,837,6554,636,3371,491,1466,386,2376,388,1572,263,8.1,0.9,4.3,0.6,35199.0,753.0,8.6,0.7,12.9,0.1,25.3,0.0,9.9,0.6,6.9,0.8,20.6,0.1,2.6,0.4,7.3,0.7,3.7,0.5,1.7,0.4,2.8,0.4,0.6,0.1,0.0253,0.1266,0.038,0.057,0.2469,0.019,0.1646,0.7848,0.0316,0.1582,1.1392,0.0443,0.1709,0.8291,1.0,0.4937,0.8987,0.0759,0.2785,0.0633,0.1203,1.4367,0.1076,3.8228,0.0443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26240,1940,10.9,0.8,172656
13,GEORGIA,GA,Columbia,13073,"Columbia County, Georgia",290.0758117,147295,0,56178,71,46840,944,12954,1581,3568,590,32509,943,7185,841,18706,176,37822,0,16427,1201,3787,512,44958,219,2124,555,2352,364,3541,489,438,207,1145,289,485,143,8.8,1.1,5.2,0.8,32509.0,943.0,7.4,0.9,12.7,0.1,25.7,0.0,11.5,0.8,8.1,1.1,30.5,0.1,1.5,0.4,4.2,0.6,6.3,0.9,0.9,0.4,2.4,0.6,0.3,0.1,0.0443,0.2785,0.0759,0.0253,0.424,0.0443,0.1456,0.8291,0.1139,0.2595,1.3481,0.1139,0.3481,0.6456,0.9937,0.4747,0.7848,0.1266,0.0886,0.0253,0.0443,1.0696,0.0443,3.8354,0.0506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11429,1304,8.0,0.9,103023
13,GEORGIA,GA,Harris,13145,"Harris County, Georgia",463.8472111,33590,0,14020,78,12158,326,2261,468,1169,334,34511,2399,2166,388,5861,87,7347,59,5994,648,848,231,7715,4,43,108,113,72,1115,265,162,90,357,109,561,190,6.8,1.4,7.1,2.0,34511.0,2399.0,9.2,1.7,17.4,0.3,21.9,0.2,18.2,1.9,7.0,1.9,23.0,0.0,0.1,0.3,0.8,0.5,8.0,1.9,1.3,0.7,2.9,0.9,1.7,0.6,0.019,0.557,0.0506,0.0759,0.7025,0.0823,0.6519,0.3418,0.7722,0.1646,1.9305,0.4873,0.2025,0.0633,0.2658,0.0506,0.2342,0.1646,0.1772,0.0696,0.4747,1.1203,0.0506,4.0191,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2577,443,7.8,1.3,22699
13,GEORGIA,GA,Effingham,13103,"Effingham County, Georgia",478.7920098,58689,0,22110,77,20489,327,4977,913,1182,241,29795,2996,4568,564,6519,80,15732,23,7284,564,1899,323,12499,241,407,183,540,160,4348,381,380,140,552,169,324,125,8.6,1.6,4.0,0.8,29795.0,2996.0,12.0,1.5,11.1,0.1,26.8,0.0,12.6,1.0,9.3,1.6,21.3,0.4,0.7,0.3,2.4,0.7,19.7,1.7,1.9,0.7,2.7,0.8,0.6,0.2,0.0316,0.0696,0.1139,0.1392,0.3543,0.0253,0.0696,0.9304,0.1582,0.4557,1.6139,0.2405,0.1772,0.3228,0.5,0.1266,0.6456,0.4367,0.3671,0.057,0.1203,1.6267,0.1329,4.0949,0.0633,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5684,695,9.8,1.2,40028
13,GEORGIA,GA,Walton,13297,"Walton County, Georgia",326.7894077,90132,0,33407,118,31133,390,11500,1236,2599,494,26545,877,7618,624,13518,143,22738,60,10865,739,3222,430,22239,113,602,209,275,149,2653,275,508,168,989,213,814,192,12.9,1.4,6.0,1.2,26545.0,877.0,12.7,1.0,15.0,0.2,25.2,0.1,12.2,0.8,10.3,1.4,24.7,0.1,0.7,0.2,0.8,0.4,7.9,0.8,1.6,0.5,3.2,0.7,0.9,0.2,0.1139,0.3987,0.2215,0.1835,0.9176,0.1519,0.3165,0.7785,0.1519,0.5823,1.8292,0.3861,0.2152,0.3228,0.538,0.1456,0.2342,0.1519,0.2405,0.0823,0.2215,0.9304,0.0063,4.2152,0.0696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9995,813,11.2,0.9,70897
13,GEORGIA,GA,White,13311,"White County, Georgia",240.7432438,28928,0,16194,54,11588,489,3918,959,539,195,25617,1846,3059,458,6215,130,5841,185,4717,625,605,249,2199,25,217,154,202,87,2647,440,122,81,277,104,407,150,13.8,3.4,4.2,1.5,25617.0,1846.0,14.9,2.3,21.5,0.4,20.2,0.6,16.4,2.2,5.2,2.1,7.6,0.1,0.8,0.6,1.2,0.5,16.3,2.7,1.1,0.7,2.4,0.9,1.4,0.5,0.1582,0.1139,0.2658,0.2785,0.8164,0.1013,0.8924,0.2025,0.519,0.038,1.6519,0.2848,0.038,0.4177,0.4557,0.1076,0.3544,0.3544,0.1519,0.0253,0.4241,1.3101,0.0759,4.2341,0.0759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3604,673,12.5,2.3,22305
13,GEORGIA,GA,Coweta,13077,"Coweta County, Georgia",440.9317724,140516,0,53747,81,51308,444,15417,1863,3397,506,32542,1031,10498,938,18483,88,35330,63,14914,828,4583,489,40146,172,2416,516,3514,437,1884,310,839,238,2207,433,505,159,11.1,1.3,4.7,0.7,32542.0,1031.0,11.2,1.0,13.2,0.1,25.1,0.0,10.7,0.6,8.9,0.9,28.6,0.1,1.8,0.4,6.5,0.8,3.5,0.6,1.6,0.5,4.3,0.8,0.4,0.1,0.0949,0.1772,0.0696,0.1266,0.4683,0.057,0.1772,0.7468,0.0759,0.3987,1.3986,0.1203,0.3038,0.7152,1.019,0.5063,0.8797,0.0696,0.2405,0.1835,0.0696,1.4429,0.1139,4.3288,0.0823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14516,1192,10.4,0.9,113685
13,GEORGIA,GA,Morgan,13211,"Morgan County, Georgia",347.4040911,18235,0,7679,47,6656,183,1883,443,493,150,30587,2229,1691,326,3449,9,4102,85,2749,428,411,144,5181,47,192,136,72,65,1037,181,55,40,316,136,170,64,10.5,2.5,5.7,1.8,30587.0,2229.0,13.5,2.6,18.9,0.1,22.5,0.5,15.2,2.4,6.2,2.2,28.4,0.3,1.1,0.8,0.9,0.9,13.5,2.4,0.8,0.6,4.7,2.0,0.9,0.4,0.0823,0.3481,0.1013,0.2278,0.7595,0.0949,0.7848,0.3987,0.3797,0.1203,1.6835,0.3101,0.2911,0.5316,0.8227,0.3671,0.2532,0.2785,0.0696,0.2405,0.2215,1.0633,0.038,4.329,0.0886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131,457,11.8,2.5,17696
